"contest_id","year","party","endorsee","endorser_name","endorser_description","endorser_party_note","state","district","date_raw","note","switch_direction","switch_candidate","evidence_url","parsed_ok","raw_text"
"2008D",2008,"D","OBAMA","Boston Phoenix","Newspaper - Alternative",,,,,,,,,TRUE,"Boston Phoenix"
"2008R",2008,"R","McCAIN","Daily News Tribune","Newspaper",,,,"01/27/08","Waltham",,,,TRUE,"Daily News Tribune [Waltham] (01/27/08)"
"2008R",2008,"R","McCAIN","The Springfield Republican","Newspaper",,,,"01/12/08",,,,,TRUE,"The Springfield Republican (01/12/08)"
"2008R",2008,"R","McCAIN","Worcester Telegram & Gazette","Newspaper",,,,"01/27/08",,,,,TRUE,"Worcester Telegram & Gazette (01/27/08)"
"2008R",2008,"R","McCAIN","Harvard Crimson","Newspaper - Specialty",,,,"01/18/08",,,,,TRUE,"Harvard Crimson (01/18/08)"
"2008D",2008,"D","CLINTON","La Prensa de Minnesota","Newspaper",,,,"01/29/08",,,,,TRUE,"La Prensa de Minnesota (01/29/08)"
"2008D",2008,"D","OBAMA","The Minnesota Daily","Newspaper - Specialty",,,,"01/31/08",,,,,TRUE,"The Minnesota Daily (01/31/08)"
"2008R",2008,"R","McCAIN","La Prensa de Minnesota","Newspaper - Specialty",,,,"01/29/08",,,,,TRUE,"La Prensa de Minnesota (01/29/08)"
"2008R",2008,"R","McCAIN","The Minnesota Daily","Newspaper - Specialty",,,,"01/31/08",,,,,TRUE,"The Minnesota Daily (01/31/08)"
"2008D",2008,"D","CLINTON","Kansas City Star","Newspaper",,,,"01/19/08",,,,,TRUE,"Kansas City Star (01/19/08)"
"2008D",2008,"D","OBAMA","Columbia Daily Tribune","Newspaper",,,,"01/31/08",,,,,TRUE,"Columbia Daily Tribune (01/31/08)"
"2008D",2008,"D","OBAMA","Joplin Globe","Newspaper",,,,"02/02/08",,,,,TRUE,"Joplin Globe (02/02/08)"
"2008D",2008,"D","OBAMA","Rolla Daily News","Newspaper",,,,"02/02/08",,,,,TRUE,"Rolla Daily News (02/02/08)"
"2008D",2008,"D","OBAMA","St. Louis Post-Dispatch","Newspaper",,,,"01/27/08",,,,,TRUE,"St. Louis Post-Dispatch (01/27/08)"
"2008D",2008,"D","OBAMA","St. Louis American","Newspaper - Specialty",,,,"01/30/08",,,,,TRUE,"St. Louis American (01/30/08)"
"2008R",2008,"R","HUCKABEE","Rolla Daily News","Newspaper",,,,"02/02/08",,,,,TRUE,"Rolla Daily News (02/02/08)"
