contest_id,year,party,endorsee,endorser_name,endorser_description,endorser_party_note,state,district,date_raw,note,switch_direction,switch_candidate,evidence_url,parsed_ok,raw_text
2008R,2008,R,Romney,Hal Rogers,U.S. Representative,,KY,5,"Feb. 2, 2007",,,,http://p2008.org/cands08/endorse/endhr020607.html,TRUE,"U.S. Rep. Hal Rogers (KY-5) (Feb. 2, 2007) +"
2008R,2008,R,Romney,Jim McCrery,U.S. Representative,,LA,4,"Jan. 17, 2007",,,,http://p2008.org/cands08/endorse/endjm011707.html,FALSE,"U.S. Rep. Jim McCrery (LA-4) (Jan. 17, 2007) +, +"
2008R,2008,R,Romney,Rodney Alexander,U.S. Representative,,LA,5,,,,,,TRUE,U.S. Rep. Rodney Alexander (LA-5)
2008R,2008,R,Romney,Pete Hoekstra,U.S. Representative,,MI,2,"Jan. 24, 2007",,,,http://p2008.org/cands08/endorse/endph012407.html,TRUE,"U.S. Rep. Pete Hoekstra (MI-2) (Jan. 24, 2007) +"
2008R,2008,R,Romney,Vernon Ehlers,U.S. Representative,,MI,3,"Aug. 14, 2007",,,,,TRUE,"U.S. Rep. Vernon Ehlers (MI-3) (Aug. 14, 2007)"
2008R,2008,R,Romney,Dave Camp,U.S. Representative,,MI,4,"Jan. 17, 2007",,,,,TRUE,"U.S. Rep. Dave Camp (MI-4) (Jan. 17, 2007)"
2008R,2008,R,Romney,Joe Knollenberg,U.S. Representative,,MI,9,"Aug. 23, 2006...first to announce",,,,,TRUE,"U.S. Rep. Joe Knollenberg (MI-9) (Aug. 23, 2006...first to announce)"
2008R,2008,R,Romney,Mike Ferguson,U.S. Representative,,NJ,7,"Feb. 2, 2008",,,,,TRUE,"U.S. Rep. Mike Ferguson (NJ-7) (Feb. 2, 2008)"
2008R,2008,R,Romney,Virginia Foxx,U.S. Representative,,NC,5,"Dec. 21, 2007",,,,,TRUE,"U.S. Rep. Virginia Foxx (NC-5) (Dec. 21, 2007)"
2008R,2008,R,Romney,Howard Coble,U.S. Representative,,NC,6,"Feb. 4, 2008",,,,,TRUE,"U.S. Rep. Howard Coble (NC-6) (Feb. 4, 2008)"
2008R,2008,R,Romney,Ralph Regula,U.S. Representative,,OH,16,,,,,,TRUE,U.S. Rep. Ralph Regula (OH-16)
2008R,2008,R,Romney,Bill Shuster,U.S. Representative,,PA,9,,,,,,TRUE,U.S. Rep. Bill Shuster (PA-9)
2008R,2008,R,Romney,John Duncan Jr.,U.S. Representative,,TN,2,,,,,,FALSE,"U.S. Rep. John Duncan Jr. (TN-2) (Duncan threw his support behind Romney in late Jan./early Feb. 2007, but on Mar. 19, 2007 was announced as a co-chair of Draft Fred Thompson and has said he will support Thompson if he gets in the race)."
2008R,2008,R,Romney,Marsha Blackburn,U.S. Representative,,TN,7,,,,,,FALSE,"U.S. Rep. Marsha Blackburn (TN-7) (announced as a senior advisor to Romney on Jan. 5, 2007; switched support to not-yet-announced probable candidate former Sen. Fred Thompson on May 25, 2007; re-annonced support on Jan. 28, 2008))"
2008R,2008,R,Romney,Mike Conaway,U.S. Representative,,TX,11,"Mar. 7, 2007",,,,,TRUE,"U.S. Rep. Mike Conaway (TX-11) (Mar. 7, 2007)"
2008R,2008,R,Romney,Kay Granger,U.S. Representative,,TX,12,"Sept. 25, 2007",,,,,TRUE,"U.S. Rep. Kay Granger (TX-12) (Sept. 25, 2007)"
2008R,2008,R,Romney,Lamar Smith,U.S. Representative,,TX,21,25-Jul-07,,,,,TRUE,"U.S. Rep. Lamar Smith (TX-21) (July 25, 2007)"
2008R,2008,R,Romney,John Carter,U.S. Representative,,TX,31,"Dec. 20, 2007",,,,,TRUE,"U.S. Rep. John Carter (TX-31) (Dec. 20, 2007)"
2008R,2008,R,Romney,Rob Bishop,U.S. Representative,,UT,1,"Feb. 1, 2008",,,,,TRUE,"U.S. Rep. Rob Bishop (UT-1) (Feb. 1, 2008)"
2008R,2008,R,Romney,Chris Cannon,U.S. Representative,,UT,3,"Nov. 1, 2007",,,,,TRUE,"U.S. Rep. Chris Cannon (UT-3) (Nov. 1, 2007)"
2008R,2008,R,Romney,Tom Petri,U.S. Representative,,WI,6,"Aug. 27, 2007",,,,,TRUE,"U.S. Rep. Tom Petri (WI-6) (Aug. 27, 2007)"
2008R,2008,R,Guiliani,Rick Perry,Governor,,TX,,"Oct. 17, 2007",,,,http://p2008.org/giuliani/giuliani101707prtx.html,TRUE,"Gov. Rick Perry (TX) (Oct. 17, 2007) +"
2008R,2008,R,Guiliani,David Vitter,U.S. Senator,,LA,,"Mar. 13, 2007",,,,http://p2008.org/cands08/endorse/vitter031207.html,TRUE,"U.S. Sen. David Vitter (LA) (Mar. 13, 2007) +"
2008R,2008,R,Guiliani,Norm Coleman,U.S. Senator,,MN,,"Nov. 1, 2007",,,,,TRUE,"U.S. Sen. Norm Coleman (MN) (Nov. 1, 2007)"
2008R,2008,R,Guiliani,Kit Bond,U.S. Senator,,MO,,"Nov. 2, 2007",,,,,TRUE,"U.S. Sen. Kit Bond (MO) (Nov. 2, 2007)"
2008R,2008,R,Guiliani,George Radanovich,U.S. Representative,,CA,19,"Mar. 29, 2007",,,,,TRUE,"U.S. Rep. George Radanovich (CA-19) (Mar. 29, 2007)"
2008R,2008,R,Guiliani,Devin Nunes,U.S. Representative,,CA,21,"Feb. 9, 2007",,,,,TRUE,"U.S. Rep. Devin Nunes (CA-21) (Feb. 9, 2007)"
2008R,2008,R,Guiliani,David Dreier,U.S. Representative,,CA,26,"Feb. 13, 2007",,,,http://p2008.org/cands08/endorse/enddd021307.html,TRUE,"U.S. Rep. David Dreier (CA-26) (Feb. 13, 2007) +"
2008R,2008,R,Guiliani,Ed Royce,U.S. Representative,,CA,40,"Mar. 24, 2007",,,,,TRUE,"U.S. Rep. Ed Royce (CA-40) (Mar. 24, 2007)"
2008R,2008,R,Guiliani,Jerry Lewis,U.S. Representative,,CA,41,"Mar. 13, 2007",,,,,TRUE,"U.S. Rep. Jerry Lewis (CA-41) (Mar. 13, 2007)"
2008R,2008,R,Guiliani,Mary Bono,U.S. Representative,,CA,45,,"reported by the Desert Sun [Palm Springs] on Jan. 24, 2007",,,,TRUE,"U.S. Rep. Mary Bono (CA-45) (reported by the Desert Sun [Palm Springs] on Jan. 24, 2007)"
2008R,2008,R,Guiliani,Jerry Weller,U.S. Representative,,IL,11,30-Jul-07,,,,,TRUE,"U.S. Rep. Jerry Weller (IL-11) (July 30, 2007)"
